beach_name,measurement_timestamp,water_temperature,turbidity,transducer_depth,wave_height
Postiguet Beach,1524984377223,17.544954839465337,1.9244763266447462,0.694332164738607,8.330081979187208
Postiguet Beach,1517508828710,21.922704280036665,1.775550856198447,0.7472629293734822,5.749011281941654
Muchavista Beach,1525623073901,24.523716883532074,1.8864620002771533,0.3652456096274126,3.596790997129643
Carabassi Beach,1524916072347,18.76874241328992,1.0258523322023159,0.7067427824787679,7.2079047996054415
Muchavista Beach,1525791781872,18.383419558978936,1.0765122184366471,0.9010159614519554,5.617912920797564
Postiguet Beach,1521267113115,16.377670942384547,1.2370121166529455,0.9555246642120278,3.638078703304891
San Juan Beach,1517305465902,14.65790087143748,1.3752810733639589,0.6084487239314551,3.894674871899076
Urbanova Beach,1519156372689,25.653289927416164,1.147871750262436,0.011968274556560687,7.534274925615108
Urbanova Beach,1521992596285,25.556669560086526,1.4861651051766567,0.012345200958246316,4.53864459701335
Urbanova Beach,1524309369225,15.508685599246954,1.402621446266021,0.04049218858289627,0.47041868199046394
Urbanova Beach,1525449325819,25.347125493424453,1.3944928732167947,0.5469413586264011,0.6512817431759592
Carabassi Beach,1515025476817,15.906384205777378,1.3594161958097586,0.12698985121233708,6.805200633330747
Muchavista Beach,1516570715754,12.702164374791748,1.4127408858229824,0.12406030448877137,5.936294820921356
San Juan Beach,1522699814251,20.19127473125403,1.3194054799891428,0.2626238671791695,2.0900119244551205
Postiguet Beach,1521627865589,18.883422179653948,1.7078154578119462,0.039343455819102924,1.8127096290074785
Carabassi Beach,1525111318101,25.218609212859363,1.124706988391373,0.9881315062119961,6.735014581618208
Carabassi Beach,1518713119682,14.403563715724587,1.718741870988469,0.018260855388353647,8.97348474967504
San Juan Beach,1518107476792,16.36113460078754,1.252091753919585,0.5595853993458322,3.8402282648505808
Urbanova Beach,1520086259092,13.50563776132803,1.2786371320104546,0.6337592187668466,1.7223791505801527
Postiguet Beach,1517984035209,13.805544931577032,1.0896860937401962,0.33401523029062596,3.9088719752173606
Postiguet Beach,1517040618497,24.87587920923698,1.4440119110111522,0.915484285290077,6.584134488108416
Carabassi Beach,1517295771965,19.2771846077276,1.0862314566106366,0.4256303242747328,6.5092433222831065
Postiguet Beach,1518871032052,21.31305120922145,1.6441298857744693,0.8900356044707132,6.81796363024347
Carabassi Beach,1515346704301,19.10196176021478,1.2880851963651831,0.8821077042372648,9.546596999995831
Urbanova Beach,1521344067929,25.366813908465375,1.3133004555824759,0.2883265636803243,3.681937910303366
Postiguet Beach,1525350324077,23.614613703444803,1.4230912699659453,0.7586973697628672,4.857824602003658
Carabassi Beach,1517011023222,21.068035959079204,1.4134370374262373,0.5396465123610373,6.274224538422719
Urbanova Beach,1526062679667,14.711384252810042,1.498019580643301,0.08127727080994307,7.679144564629981
Urbanova Beach,1524887538344,13.786186599944187,1.6785532095873128,0.018862434919387883,0.3591529436203398
San Juan Beach,1518028281812,16.68586392208517,1.0966370297391768,0.9908396733613921,5.082158591706045
San Juan Beach,1516701037678,20.11084823664549,1.5130654107674861,0.7826710586259178,2.7623705048023623
San Juan Beach,1521813615121,15.579274249678399,1.8338737502356661,0.3003736223142204,5.43194350396315
Carabassi Beach,1520353718245,25.77956901761524,1.5277836491286774,0.38442014041820194,9.227133582160944
San Juan Beach,1515926086303,17.512630117279933,1.986106556119454,0.3218170225786424,7.800234002545668
Carabassi Beach,1522015982247,25.094291677255775,1.0772318682462347,0.45967940494261983,1.7019113321016741
Muchavista Beach,1525337106276,20.313156946660143,1.4083437003523884,0.4908846009713391,8.320692477300845
San Juan Beach,1516102929975,13.932956567918435,1.749500326180757,0.9788336999869925,2.5935446013786683
Muchavista Beach,1515753940930,12.169818514600925,1.1568702472075074,0.9184947859951691,6.08712158761181
Carabassi Beach,1523886844359,16.360057108375173,1.5630845086422402,0.11497051158655636,9.368486434155976
Muchavista Beach,1515288483979,16.238283469261287,1.7626202541102713,0.4012498888159305,1.8448757426643942
Muchavista Beach,1526288909784,25.97184615902686,1.775807342399097,0.617434843823766,4.593291895081858
Postiguet Beach,1514914214823,25.646824411843568,1.2028325250384393,0.8061383512994784,6.101933985726267
Urbanova Beach,1523421094383,16.10276218227579,1.1947643577551048,0.7928782219442481,5.260129014284269
Carabassi Beach,1517420715582,13.02378905815121,1.4071113754854585,0.5377890515681031,7.637427125621451
Muchavista Beach,1518510032263,21.6433323421557,1.6172291660409766,0.6176388592271391,4.896246537844644
Muchavista Beach,1520299572090,16.939051639704054,1.1016521330019966,0.5771716545067225,5.237538435073214
Carabassi Beach,1518431644081,21.907555751487486,1.5232213751710122,0.9559642364330355,1.2979958547690573
Postiguet Beach,1525076064337,18.293338390147557,1.8281730667819058,0.0008590493072703209,3.424155838754332
Carabassi Beach,1523847065276,17.509566673346555,1.0577984823620024,0.9401070478080318,8.231176221259256
Muchavista Beach,1522937293305,20.928301466031918,1.7729839641259795,0.9350285744208566,0.5117239861975867
San Juan Beach,1524624076701,15.589236702437002,1.1945477631836594,0.6282973465855484,1.4418681668465831
Urbanova Beach,1524969001600,23.230826876618845,1.2779255181295102,0.6272691509500042,1.1678925057222143
Urbanova Beach,1517038977690,12.264880439249525,1.1477663260368933,0.43813922910240033,1.417275250416622
Muchavista Beach,1515130920250,23.986903794582197,1.4841217176494925,0.8987211658060643,6.865139405656061
Postiguet Beach,1525982399131,19.349533115426734,1.3460767025264428,0.39266426230718476,6.8250795634649934
Postiguet Beach,1524122332837,24.82813047457961,1.0949320805153753,0.5395146717111085,1.5438427791769922
Muchavista Beach,1522574577480,13.737904592732919,1.3910688361468062,0.5559758521475033,8.462825465852967
Postiguet Beach,1524334863452,21.448678773733516,1.3320400783343405,0.2007760038129639,5.498042892825718
Muchavista Beach,1517641871462,24.65348119385542,1.6371784885353327,0.48585620936866025,2.7997676665186972
Muchavista Beach,1519375979827,14.021153127994815,1.7713701938331683,0.2944458674547661,2.465998689297373
Urbanova Beach,1525058645420,25.684808012929505,1.055660609649034,0.05080986606163318,7.179747223211773
Postiguet Beach,1518420277091,20.600500133632544,1.9252384008869785,0.47841423645483516,7.262707757850852
Muchavista Beach,1523489704251,12.251204670030695,1.5562773503167635,0.5255991911331285,1.916825705299538
Urbanova Beach,1522123009948,20.18813187917285,1.6785103653755125,0.7112766933868871,8.905670258039297
Muchavista Beach,1515660041716,12.871502407773956,1.6059435792252332,0.030407542579102387,6.473263605585149
Carabassi Beach,1519683576053,14.487569097489633,1.4803413751378935,0.9767745239987516,9.122941056138707
Urbanova Beach,1518935209481,20.146112349167538,1.9882920904126613,0.7852786022061546,1.6812120399151043
Carabassi Beach,1521325565983,16.223347140460483,1.4542359563981546,0.2058202727757158,5.625946300304587
Postiguet Beach,1524397732219,13.223511301594806,1.8758605050813995,0.5182405415468274,0.6360092560785929
San Juan Beach,1515597000094,21.243833368536656,1.4115956871949535,0.3403931924355227,0.7563130600801145
Postiguet Beach,1518768989083,21.694442220009975,1.0090845843204526,0.061545327087187074,8.20598299912471
Carabassi Beach,1521254075120,18.057380416758004,1.2502262797876065,0.287114301218105,7.734424602176961
Muchavista Beach,1525625616287,16.246217266529904,1.4039032135447567,0.029212270345636338,4.718933397969539
Carabassi Beach,1517647044287,14.144083442398731,1.7762323980353751,0.7907693230413321,9.556931006769569
Muchavista Beach,1523891037722,19.539328804360455,1.384240931765529,0.5053613391963452,9.756826422831285
Muchavista Beach,1517771427067,17.87100927498404,1.9797878204292556,0.6072156064866882,5.828367915079862
Muchavista Beach,1515707872231,24.883991354403207,1.095555366872943,0.1385710114561549,1.506247435687447
Urbanova Beach,1518347991129,25.97274969968195,1.920507804246136,0.4376241010435088,2.816812862890546
Carabassi Beach,1524105117966,14.120234855904316,1.5349090601454476,0.9629676502328324,9.649092416998204
Muchavista Beach,1515527921313,13.431351428659138,1.9642866625398399,0.7932135439381148,3.2296888846463623
Carabassi Beach,1526256791814,14.744178598813617,1.394856627283536,0.6915009244701007,7.101372372947343
Muchavista Beach,1519416753859,14.50793660491738,1.3137884508685629,0.3368743162370471,1.2029830267576673
Postiguet Beach,1522131438338,25.864885185071696,1.4026909140132147,0.986021184408644,0.29882389868434023
Postiguet Beach,1523994832802,19.816663837435488,1.3453774388367954,0.07663336800730858,5.639483307097382
Urbanova Beach,1523390958665,22.846825378332213,1.9190525517393606,0.8212683853656785,2.0198647623707995
Muchavista Beach,1521809736488,23.835107426889927,1.1805015572277815,0.3713234699654897,8.817108070521511
San Juan Beach,1525197798771,13.256299239708287,1.325117538039287,0.5352817877785615,9.725547108086712
Muchavista Beach,1520633004421,25.72931655410067,1.262820029171588,0.8790703806819565,0.282775595247935
Postiguet Beach,1524930039772,12.92635791961187,1.1171762211668579,0.45103720150712434,5.651948042672163
Postiguet Beach,1525755117609,20.50984439673065,1.6021557235471855,0.011183309057610336,2.383934316532161
Carabassi Beach,1525723518228,22.308254002783514,1.2854921861011273,0.5103948013537287,7.508426523968807
Postiguet Beach,1515953382533,25.988531735561516,1.596153281011876,0.4646986047320474,2.5283221158172293
Carabassi Beach,1525992998025,12.983525736290167,1.4252268670725399,0.029503774665058158,1.468176602406724
Carabassi Beach,1520386815199,25.46793023303064,1.325880893048431,0.8679221667961776,1.904864045676438
San Juan Beach,1520405961613,23.000191068939486,1.0379351743456369,0.36245613916308483,1.0460572121516307
Urbanova Beach,1516752879108,13.919529980321911,1.9665573164336978,0.4781283401103673,4.370229042349681
